IP                            Port                          Type                          Anon                          
124.12.49.25                  8088                          HTTP                          -1                            
218.50.2.102                  8080                          HTTP                          -1                            
91.191.33.166                 5328                          HTTP                          -1                            
46.44.172.23                  8080                          HTTP                          -1                            
81.22.54.60                   5328                          HTTP                          -1                            
13.251.42.245                 8080                          HTTP                          -1                            
47.98.119.188                 3128                          HTTP                          -1                            
178.32.5.190                  3128                          HTTP                          -1                            
115.218.124.61                9000                          HTTP                          1                             
119.252.160.34                8080                          HTTP                          -1                            
109.187.18.186                3128                          HTTP                          -1                            
95.86.57.82                   2016                          HTTP                          -1                            
191.53.112.170                3561                          HTTP                          -1                            
121.232.148.85                9000                          HTTP                          1                             
176.9.28.86                   3128                          HTTP                          -1                            
177.184.136.74                2018                          HTTP                          -1                            
50.233.137.38                 80                            HTTP                          -1                            
125.119.216.26                9000                          HTTP                          1                             
82.137.250.69                 8080                          HTTP                          -1                            
115.223.231.19                9000                          HTTP                          1                             
115.223.228.29                9000                          HTTP                          1                             
115.218.126.42                9000                          HTTP                          1                             
170.84.51.74                  5328                          HTTP                          -1                            
164.132.98.51                 80                            HTTP                          -1                            
52.164.249.198                3128                          HTTP                          -1                            
117.127.0.204                 80                            HTTP                          -1                            
60.63.79.127                  8909                          HTTP                          -1                            
162.243.232.70                80                            HTTP                          -1                            
115.223.235.185               9000                          HTTP                          1                             
153.149.169.205               3128                          HTTP                          -1                            
222.18.176.76                 8909                          HTTP                          -1                            
79.120.177.106                8080                          HTTP                          -1                            
202.159.112.221               8080                          HTTP                          -1                            
82.193.123.230                5328                          HTTP                          -1                            
201.183.227.197               8080                          HTTP                          -1                            
222.131.42.3                  8909                          HTTP                          -1                            
116.77.12.89                  8909                          HTTP                          -1                            
200.68.91.41                  8080                          HTTP                          -1                            
211.80.61.22                  8909                          HTTP                          -1                            
94.23.154.55                  3128                          HTTP                          -1                            
50.233.137.37                 80                            HTTP                          -1                            
221.195.49.100                8060                          HTTP                          -1                            
115.223.193.78                9000                          HTTP                          1                             
171.215.226.17                9000                          HTTP                          1                             
149.154.142.41                5328                          HTTP                          -1                            
180.118.134.145               9000                          HTTP                          1                             
219.150.189.212               9999                          HTTP                          1                             
153.149.171.134               3128                          HTTP                          -1                            
203.126.218.186               80                            HTTP                          -1                            
116.2.38.101                  8909                          HTTP                          -1                            
159.65.9.66                   8080                          HTTP                          -1                            
